sputnik_38;20190301;UPS stops package deliveries toSwedish ’no-go zone’ after drivers assaulted;2;https://sputniknews.com/europe/201903011072868819-sweden-ups-post-delivery/
sputnik_39;20190301;Rude Awakening': Swedish Prof Likens Daesh Returnees to Unpunished SS Soldiers;2;https://sputniknews.com/europe/201903011072858258-sweden-daesh-nazi-soldiers-parallels/
sputnik_40;20190228;Swedish Prof Slammed for Idea to Send Anti-Migrant MPs to Syria, Return Jihadis;2;https://sputniknews.com/viral/201902281072825312-sweden-daesh-proposal-outrage/
sputnik_41;20190228;Swedish Town's Hijabi Welcome Sign Vandalised Amid Threats;2;https://sputniknews.com/europe/201902281072822127-sweden-hijab-welcome/
sputnik_42;20190227;Outrage as Norwegian Broadcaster Publishes Plea by Daesh Bride's Father;2;https://sputniknews.com/europe/201902271072786742-norway-daesh-return/
sputnik_43;20190226;Swedish Ad With Hijabi Minor Slammed for Legitimising Oppression (PHOTO, VIDEO);2;https://sputniknews.com/viral/201902261072744152-sweden-hijab-ad/
sputnik_44;20190225;Outrage as Muslim Woman in Veil Seen on Swedish Town's Welcome Ad (PHOTO, VIDEO);2;https://sputniknews.com/viral/201902251072708314-sweden-hijab-welcome-ad/
sputnik_45;20190223;Russian military scrambled Su-27 Jet to intercept Swedish spy plane near border;1;https://sputniknews.com/russia/201902231072668893-russia-scramble-jet-swedish-spy/
sputnik_46;20190222;Nobody's lake': US admiral warns of Russia's, China's activities in Arctic;1;https://sputniknews.com/world/201902221072655384-usnavy-commander-russia-china-arctic/
sputnik_47;20190222;Sweden has become for jihadis 'what Argentina was for nazis';2;https://sputniknews.com/europe/201902221072648224-sweden-jihadist-haven/
sputnik_48;20190221;Teen campaigner calls out Indian PM for doing little about climate change;3;https://sputniknews.com/asia/201902211072627973-teenmodi-climate/
sputnik_49;20190221;Some employees of Sweden's biggest airport linked to criminal networks;3;https://sputniknews.com/europe/201902211072613227-sweden-airport-criminals/
